NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251552,female,20,none,0,none,trace,14.83,0.07,0.696,0.212,Passeriformes,Furnariidae,Phleocryptes melanops,17,January,2017,Ondores,4061,h,Peru,11,3.378,76,9.369,16.6,15.6,56.19,30.11,27.33,28.72,0.511122976,NA,NA,NA,NA,NA,NA,667,,3335,33350000,6670000000,6.67,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278530,male,30,7 x 4 mm,1,si leve,moderado,15.29,0.07,0.728,0.198,Passeriformes,Furnariidae,Phleocryptes melanops,10,December,2017,Laguna Napique,6,l,Peru,5,31.026,80,42.232,18.7,17.7,25.48,13.68,8.79,11.235,0.440934066,18.52,10.19,7.7,8.945,0.482991361,0.458636364,411,,2055,20550000,4110000000,4.11,111.5903561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,not noted,,
279146,male,20,4 x 3 mm,1,moderate head and body molt,light,15.1,0.068,0.446,0.146,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,15.1,14.1,58.18,22.72,19.87,21.295,0.366019251,53.89,25.05,22.46,23.755,0.440805344,0.401980905,448,,2240,22400000,4480000000,4.48,89.72788053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278532,female,20,none,0,moderate body,light,12.65,0.068,0.566,0.138,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,3,l,Peru,5,31.059,80,42.232,17.7,16.7,36.59,16.99,15.2,16.095,0.439874283,23.68,12,8.98,10.49,0.442989865,0.441098391,426,,2130,21300000,4260000000,4.26,103.5442231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,35 min,,whole blood saved wrong NK on tube should be 278532
251517,female,60,4x3mm,1,none,moderado,11.39,0.068,0.592,0.156,Passeriformes,Furnariidae,Phleocryptes melanops,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.1,15.1,33.45,16.93,15.12,16.025,0.479073244,31.88,16.2,14.61,15.405,0.483218319,0.481095974,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278508,female,20,no,0,si abundante cobeja y etaldo,si moderado,12.93,0.068,0.69,0.166,Passeriformes,Furnariidae,Phleocryptes melanops,6,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,15.5,14.5,22.73,11.74,9.3,10.52,0.462824461,21.93,12.58,9.36,10.97,0.500227998,0.481191223,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1 hr,,
251508,male,40,2x2mm,1,trace head molt,heavy,15.51,0.068,0.744,0.198,Passeriformes,Furnariidae,Phleocryptes melanops,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.7,15.7,26.76,13.7,12.32,13.01,0.486173393,31.11,15.68,14.3,14.99,0.481838637,0.483843097,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251499,male,40,none,0,tail feathers fell out at capture.`,light,13.01,0.068,0.744,0.228,Passeriformes,Furnariidae,Phleocryptes melanops,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.2,15.2,30.73,14.17,11.79,12.98,0.422388545,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251532,male,10,none,0,"P 1-2 in sheath symmetrical, undertail coverts in molt, light body and head molt",moderate,14.98,0.068,0.748,0.28,Passeriformes,Furnariidae,Phleocryptes melanops,13,January,2017,Ondores,4060,h,Peru,11,3.298,76,9.394,20.3,19.3,44.94,26.33,24.01,25.17,0.560080107,36.16,20.37,17.8,19.085,0.527793142,0.54568434,619,,3095,30950000,6190000000,6.19,88.15579004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251807,male,100,none,0,none,trace,7.4,NA,0.564,0.086,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,16.9,15.9,31.47,16.53,14.44,15.485,0.492055926,18.32,10.52,7.71,9.115,0.497543668,0.494075115,302,MAY BE BAD COUNT CELLS NOT SETTLED!!!!,1510,15100000,3020000000,3.02,163.6010316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279147,male,20,7 x 3 mm,1,moderate head and body,trace,15.6,0.066,0.522,0.152,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,16.7,15.7,53.95,27.79,26.11,26.95,0.499536608,53.41,27.45,25.15,26.3,0.49241715,0.495994784,528,,2640,26400000,5280000000,5.28,93.93840604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279156,female,20,not present,0,"entire tail in sheath, symmetrical P7, S1, 2; moderate head and body",trace,13.7,0.066,0.538,0.15,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,14.3,13.3,25.64,12.37,8.47,10.42,0.406396256,16.29,7.71,5.55,6.63,0.406998158,0.406630098,382,,1910,19100000,3820000000,3.82,106.4476696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278546,female,10,8 x 4 mm,1,none,light,12.55,0.066,0.664,0.172,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,6,l,Peru,5,31.026,80,42.232,19.1,18.1,21.46,11.87,10.23,11.05,0.514911463,31.22,16.31,14.47,15.39,0.492953235,0.501898254,496,,2480,24800000,4960000000,4.96,101.189164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,60 min,,whole blood saved
251539,female,20,none,0,light body molt (back),light,14.44,0.066,0.776,0.252,Passeriformes,Furnariidae,Phleocryptes melanops,15,January,2017,Ondores,4061,h,Peru,11,3.378,76,9.369,19.2,18.2,17.78,11.28,9.57,10.425,0.586332958,10.09,6.99,5.07,6.03,0.597621407,0.590419806,466,,2330,23300000,4660000000,4.66,126.6995292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251543,male,10,none,0,"lost several retrices while bleeding, no molt",light,8.26,0.05,0.43,0.104,Passeriformes,Tyrannidae,Tachuris rubrigastra,16,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,18.8,17.8,27.98,17.33,14.53,15.93,0.569335239,10.89,6.16,4.56,5.36,0.492194674,0.54772318,441,,2205,22050000,4410000000,4.41,124.2002675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251550,male,20,none,0,none,light,6.41,0.042,0.42,0.128,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,,-1,42.43,22.2,20.74,21.47,0.506009899,40.89,21.47,12.29,16.88,0.412814869,0.460273644,447,,2235,22350000,4470000000,4.47,102.9694953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278503,female,20,not found,0,none,trace,13.23,0.062,0.646,0.168,Passeriformes,Furnariidae,Phleocryptes melanops,5,December,2017,Puerto Morin,-1,l,Peru,8,25.597,78,54.225,18,17,34.84,19.5,15.9,17.7,0.508036739,26.39,6.67,4.67,5.67,0.214854111,0.381675649,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,40 min,,
251821,male,25,none,0,none,trace,7.97,0.056,0.414,0.084,Passeriformes,Tyrannidae,Tachuris rubrigastra,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,16.3,15.3,35.98,18.83,16.95,17.89,0.497220678,32.97,18.67,15.13,16.9,0.5125872,0.504568528,311,,1555,15550000,3110000000,3.11,162.2406842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251546,male,30,none,0,P 2-3 in sheath on right; P 3 in sheath on left; light body and head molt,light,14.93,0.06,0.706,0.182,Passeriformes,Furnariidae,Phleocryptes melanops,17,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,18,17,40.45,24.63,21.4,23.015,0.568974042,17.74,10.12,6.84,8.48,0.478015784,0.5412442,444,,2220,22200000,4440000000,4.44,121.9018469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251551,male,50,none,0,none,moderate,14.58,0.06,0.724,0.192,Passeriformes,Furnariidae,Phleocryptes melanops,17,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,16.9,15.9,34.38,20.5,17.74,19.12,0.556137289,20.64,13.18,9.55,11.365,0.550629845,0.554071247,281,,1405,14050000,2810000000,2.81,197.1783797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278501,male,80,no,0,none,abundante,7.5,0.052,0.412,0.102,Passeriformes,Tyrannidae,Tachuris rubrigastra,5,December,2017,Puerto Morin,-1,l,Peru,8,25.597,78,54.225,17.8,16.8,19.82,11.55,10.01,10.78,0.543895055,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251808,male,100,none,0,moderate body head and neck,moderate,14.6,0.058,0.54,0.158,Passeriformes,Furnariidae,Phleocryptes melanops,17,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,14.7,13.7,33.51,15.87,13.38,14.625,0.436436885,36.48,16.52,14.98,15.75,0.431743421,0.43399057,321,,1605,16050000,3210000000,3.21,135.1995545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251360,female,40,no,0,moderado parte cabeza y espalda,moderado,7.51,0.033,0.412,0.112,Passeriformes,Tyrannidae,Tachuris rubrigastra,26,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,NA,NA,53.64,30.56,29.07,29.815,0.555835198,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251536,male,60,none,0,leve parte cuello,moderate,14.84,0.056,0.742,0.256,Passeriformes,Furnariidae,Phleocryptes melanops,14,January,2017,Ondores,4050,h,Peru,11,3.325,76,9.391666667,18.8,17.8,34.94,18.41,16.32,17.365,0.496994848,34.64,18.49,16.54,17.515,0.50562933,0.501293475,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251502,male,50,none,0,none,moderate,8.01,0.044,0.405,0.092,Passeriformes,Tyrannidae,Tachuris rubrigastra,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.4,15.4,38.55,19.09,17.63,18.36,0.476264591,41.01,20.44,18.5,19.47,0.474762253,0.475490196,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251544,male,50,none,0,leve,moderate,8.09,0.026,0.404,0.146,Passeriformes,Tyrannidae,Tachuris rubrigastra,16,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,17.7,16.7,26.28,12.54,10.37,11.455,0.435882801,34.63,19.04,14.18,16.61,0.479641929,0.46076178,415,,2075,20750000,4150000000,4.15,111.0269349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,not noted,,
251542,male,20,no,0,light body molt ,light,7.74,0.052,0.4,0.13,Passeriformes,Tyrannidae,Tachuris rubrigastra,16,January,2017,Ondores,4050,h,Peru,11,3.325,76,9.391666667,22.4,21.4,38.41,22.74,20.85,NA,NA,NA,NA,NA,NA,NA,NA,445,,2225,22250000,4450000000,4.45,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,55 min,,whole blood saved wrong NK on tube should be 278536
251509,female,30,4x4mm,1,"S 4 and 5 in sheath, symmetrical; undertail coverts in sheath","moderate, heavy neck",12.62,0.054,0.652,0.154,Passeriformes,Furnariidae,Phleocryptes melanops,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,15.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278543,male,10,4 x 2 mm,1,none,light,7.85,0.04,0.4,0.096,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,4,l,Peru,5,31.028,80,42.225,18.2,17.2,22.81,11.62,10.21,10.915,0.478518194,28.23,14.19,12.02,13.105,0.464222458,0.470611285,481,,2405,24050000,4810000000,4.81,97.84018405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251806,female,10,none,0,none,trace,6.97,0.054,0.392,0.13,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,18.1,17.1,13.18,8.7,6.21,7.455,0.565629742,NA,NA,NA,NA,NA,NA,324,,1620,16200000,3240000000,3.24,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,55 min,,
251816,male,70,none,0,none,none,7.73,0.052,0.392,0.096,Passeriformes,Tyrannidae,Tachuris rubrigastra,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,17.7,16.7,30.96,17.22,15.61,16.415,0.530200258,16.2,9.9,7.81,8.855,0.546604938,0.535835454,362,,1810,18100000,3620000000,3.62,148.0208436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,not noted,,
251361,male,25,3x2mm,1,"symmetrical S5,6, light body heavy head neck",light,8.21,0.064,0.388,0.104,Passeriformes,Tyrannidae,Tachuris rubrigastra,26,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,17.9,16.9,14.5,8.37,6.91,7.64,0.526896552,NA,NA,NA,NA,NA,NA,274,,1370,13700000,2740000000,2.74,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,60 min,,whole blood saved wrong NK on tube should be 278537
278541,male,30,3 x 3 mm,1,none,moderate,12.52,0.052,0.58,0.14,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,4,l,Peru,5,31.028,80,42.232,18.4,17.4,22.56,11.31,9.91,10.61,0.470301418,16.36,12.88,6.36,9.62,0.58801956,0.519784173,348,,1740,17400000,3480000000,3.48,149.363268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,35 min,,
251791,male,10,none,0,none,moderate,7.8,0.062,0.386,0.106,Passeriformes,Tyrannidae,Tachuris rubrigastra,16,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,15.3,14.3,42.16,21.7,18.75,20.225,0.479720114,28.69,14.41,12.22,13.315,0.464098989,0.473394495,362,,1810,18100000,3620000000,3.62,130.7719601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 mins,,dilution no good
251359,female,40,no,0,abundante parte cabeza,moderado,8,0.052,0.384,0.122,Passeriformes,Tyrannidae,Tachuris rubrigastra,26,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251549,male,50,none,0,none,moderate,7.38,0.026,0.382,0.092,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,19.8,18.8,12.52,8.39,6.3,7.345,0.586661342,6.3,5.05,3.48,4.265,0.676984127,0.616896918,423,,2115,21150000,4230000000,4.23,145.8385149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251818,female,75,none,0,none,trace,7.06,0.068,0.378,0.108,Passeriformes,Tyrannidae,Tachuris rubrigastra,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,17.6,16.6,29.37,17.01,14.61,15.81,0.538304392,23.46,13.6,10.95,12.275,0.523231032,0.531610827,321,,1605,16050000,3210000000,3.21,165.6108496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251513,female,10,none,0,missing left two outermost retrices,moderate,6.8,0.052,0.378,0.072,Passeriformes,Tyrannidae,Tachuris rubrigastra,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,15.8,14.8,46.97,22.49,20.78,21.635,0.460613157,35.98,17.68,15.78,16.73,0.464980545,0.462507535,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278547,male,30,6 x 4 mm,1,"light body, head,and neck",light,14.82,0.05,0.759,0.172,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,4,l,Peru,5,31.028,80,42.225,17.5,16.5,31.65,16.07,13.49,14.78,0.466982622,21.31,9.67,7.87,8.77,0.411543876,0.444675227,453,,2265,22650000,4530000000,4.53,98.16230167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,50 min,,whole blood saved
251545,male,50,none,0,none,moderate,8.09,0.028,0.378,0.134,Passeriformes,Tyrannidae,Tachuris rubrigastra,16,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,19.6,18.6,37.77,21.31,19.1,20.205,0.534948372,45.89,26.04,24.45,25.245,0.550119852,0.54327038,435,,2175,21750000,4350000000,4.35,124.8897426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251504,female,40,none,0,none,moderate,7.91,0.05,0.376,NA,Passeriformes,Tyrannidae,Tachuris rubrigastra,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.1,15.1,25.24,12.8,11.83,12.315,0.487916006,16.98,9.12,7.57,8.345,0.491460542,0.489341544,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251537,female,20,none,0,none,trace,7.46,0.032,0.376,0.106,Passeriformes,Tyrannidae,Tachuris rubrigastra,15,January,2017,Ondores,4050,h,Peru,11,3.325,76,9.391666667,19.7,18.7,10.1,7.84,5.07,6.455,0.639108911,9.72,6.86,4.96,5.91,0.608024691,0.623864783,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278527,female,20,no,0,none,abundante,7.85,0.038,0.374,0.084,Passeriformes,Tyrannidae,Tachuris rubrigastra,10,December,2017,Laguna Napique,3,l,Peru,5,31.059,80,42.232,17.4,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278513,male,10,none,0,light body,light,14.16,0.048,0.724,0.15,Passeriformes,Furnariidae,Phleocryptes melanops,6,December,2017,Puerto Morin,-1,l,Peru,8,25.597,78,54.225,17.8,16.8,26.03,14.79,12,13.395,0.51459854,26.55,12.88,11.72,12.3,0.463276836,0.48868391,421,,2105,21050000,4210000000,4.21,116.0769383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,20 min,,whole blood saved
251505,male,50,no,0,leve cuello,moderado,7.24,0.04,0.368,0.108,Passeriformes,Tyrannidae,Tachuris rubrigastra,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.5,15.5,16.19,9.81,7.98,8.895,0.549413218,8.57,5.63,3.87,4.75,0.554259043,0.551090468,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251349,female,20,none,0,"heavy body neck, very heavy head, inermost ss",light,7.81,0.048,0.364,0.092,Passeriformes,Tyrannidae,Tachuris rubrigastra,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279154,male,5,none,0,"R8, 7, 6, L P6,5, entire tail in sheath; heavy head and body",trace,15.2,0.046,0.524,0.15,Passeriformes,Furnariidae,Phleocryptes melanops,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,16,15,35.28,17.42,15.19,16.305,0.462159864,31.33,16.91,11.94,14.425,0.460421321,0.461342141,403,,2015,20150000,4030000000,4.03,114.476958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278538,female,30,3 x 2 mm,1,none,moderado,7.62,0.044,0.364,0.076,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,4,l,Peru,5,31.028,80,42.225,16.7,15.7,26.37,13.13,10.42,11.775,0.446530148,23.46,12.1,10.26,11.18,0.47655584,0.460666265,420,,2100,21000000,4200000000,4.2,109.6824441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
