NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278504,female,40,no,0,none,abundante,6.08,0.044,0.364,0.078,Passeriformes,Tyrannidae,Tachuris rubrigastra,5,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,19.4,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,40 min,,no Hct
278505,male,20,4 x 3 mm,1,moderate body,light,6.9,0.04,0.364,0.107,Passeriformes,Tyrannidae,Tachuris rubrigastra,5,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,17.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251548,male,60,none,0,none,moderate,7.52,0.03,0.362,0.104,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,18.5,17.5,25.98,14.8,14.02,14.41,0.554657429,NA,NA,NA,NA,NA,NA,407,,2035,20350000,4070000000,4.07,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,65 min,,whole blood saved wrong NK on tube should be 278538
251799,female,50,no,0,no,moderado,7.21,0.044,0.36,0.088,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,16.3,15.3,15.88,8.65,6.63,7.64,0.481108312,9.54,6.49,3.78,5.135,0.538259958,0.502557042,347,,1735,17350000,3470000000,3.47,144.8291186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,45 min,,bad spin!! centrifuge is on the fritz
251531,male,10,none,0,trace head molt,light,8.09,0.044,0.36,0.1,Passeriformes,Tyrannidae,Tachuris rubrigastra,13,January,2017,Ondores,4060,h,Peru,11,3.298,76,9.394,20.5,19.5,38.52,21.76,18.12,19.94,0.517653167,29.82,16.44,14.87,15.655,0.524983233,0.520851624,385,,1925,19250000,3850000000,3.85,135.2861362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251819,female,100,no,0,no,moderado,6.9,0.034,0.36,0.098,Passeriformes,Tyrannidae,Tachuris rubrigastra,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,16.6,15.6,18.28,11,8.7,9.85,0.538840263,11.16,6.82,4.72,5.77,0.51702509,0.530570652,314,,1570,15700000,3140000000,3.14,168.9715453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251514,female,50,no,0,none,moderado,6.6,0.064,0.356,0.076,Passeriformes,Tyrannidae,Tachuris rubrigastra,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.4,15.4,30.56,16.79,14.79,15.79,0.516688482,30.48,16.89,14.07,15.48,0.507874016,0.512287025,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278512,female,30,none,0,light body molt,moderate,6.64,0.038,0.356,0.102,Passeriformes,Tyrannidae,Tachuris rubrigastra,6,December,2017,Puerto Morin,-1,l,Peru,8,25.548,78,54.123,20.2,19.2,30.22,14.46,10.91,12.685,0.419755129,50.35,30.1,27.48,28.79,0.571797418,0.514769765,386,,1930,19300000,3860000000,3.86,133.3600429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251541,female,30,none,0,none,moderate,7.48,0.036,0.354,0.12,Passeriformes,Tyrannidae,Tachuris rubrigastra,16,January,2017,Ondores,4050,h,Peru,11,3.325,76,9.391666667,20.5,19.5,36.17,22.63,20.5,21.565,0.596212331,33.97,21.22,19.18,20.2,0.594642331,0.595451953,330,,1650,16500000,3300000000,3.3,180.4399858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251547,male,20,none,0,missing outermost two right retrices,light,7.68,0.026,0.354,0.124,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,January,2017,Ondores,4058,h,Peru,11,3.35,76,9.36,17.4,16.4,23.6,13.27,12.15,12.71,0.538559322,30.84,18.9,15.09,16.995,0.551070039,0.545646583,516,,2580,25800000,5160000000,5.16,105.7454619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 min,,whole blood saved
278545,male,20,7 x 4 mm,1,none,abundante,7.15,0.054,0.352,0.104,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,4,l,Peru,5,31.028,80,42.225,18.7,17.7,26.7,14.36,11.95,13.155,0.492696629,24.31,12.64,10.67,11.655,0.479432332,0.486375221,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,30 min,,"no dilution, Hct tube 2 leaked at bottom"
251358,female,40,no,0,parte cabeza y cuerpo moderado,moderado,7.8,0.042,0.35,0.104,Passeriformes,Tyrannidae,Tachuris rubrigastra,26,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,18.7,17.7,16.42,10.04,8.01,9.025,0.549634592,13.45,8.03,6.45,7.24,0.538289963,0.544526281,392,,1960,19600000,3920000000,3.92,138.9097654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,45 min,,whole blood saved
251497,female,40,none,0,missing left 5 retrices,moderate,6.56,0.026,0.348,0.078,Passeriformes,Tyrannidae,Tachuris rubrigastra,13,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,,2110,21100000,4220000000,4.22,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251497,female,40,none,0,missing left five retrices,moderate,6.56,0.026,0.348,0.078,Passeriformes,Tyrannidae,Tachuris rubrigastra,13,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,15.5,14.5,24.32,16.17,15.52,15.845,0.651521382,39.47,18.4,17.17,17.785,0.450595389,0.52719862,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1 hr,,bad spin!! centrifuge is on the fritz
278520,female,30,no,0,none,abundante,6.54,0.024,0.346,0.09,Passeriformes,Tyrannidae,Tachuris rubrigastra,7,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,21.1,20.1,25.21,15.22,13.19,14.205,0.563466878,20.73,12.68,10.52,11.6,0.559575494,0.561710927,460,,2300,23000000,4600000000,4.6,122.1110712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,45 min,,
278525,female,30,none,0,none,moderate,8.51,0.056,0.344,0.13,Passeriformes,Tyrannidae,Tachuris rubrigastra,10,December,2017,Laguna Napique,3,l,Peru,5,31.059,80,42.232,19.5,18.5,5.7,2.9,0.82,1.86,0.326315789,15.41,8.22,5.97,7.095,0.460415315,0.424206537,353,,1765,17650000,3530000000,3.53,120.1718236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251812,female,10,none,0,none,trace,7.07,0.05,0.344,0.074,Passeriformes,Tyrannidae,Tachuris rubrigastra,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,16.8,15.8,38.44,16.45,14.01,15.23,0.396201873,36.31,19.1,16.77,17.935,0.493941063,0.44367893,261,MAY BE BAD COUNT CELLS NOT SETTLED!!!!,1305,13050000,2610000000,2.61,169.9919271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not noted,,no blood to spin
278526,male,40,none,0,none,light,7.4,0.054,0.342,0.098,Passeriformes,Tyrannidae,Tachuris rubrigastra,10,December,2017,Laguna Napique,4,l,Peru,,,,,15.7,14.7,21.04,9.77,7.88,8.825,0.419439163,14.36,7.98,4.94,6.46,0.449860724,0.431779661,379,,1895,18950000,3790000000,3.79,113.9260319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2 hr,,
278528,male,40,none,0,none,heavy,8.1,0.028,0.342,0.084,Passeriformes,Tyrannidae,Tachuris rubrigastra,10,December,2017,Laguna Napique,3,l,Peru,5,31.028,80,42.232,21.1,20.1,29.62,16.66,15.04,15.85,0.535111411,27.81,16.35,13.63,14.99,0.539014743,0.537001567,398,,1990,19900000,3980000000,3.98,134.9250169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278544,male,10,5 x 4 mm,1,light body,light,7.33,0.036,0.338,0.098,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,6,l,Peru,5,31.026,80,42.232,16.3,15.3,17.34,10.26,5.88,8.07,0.465397924,31.97,14.85,12.89,13.87,0.433844229,0.444940174,390,,1950,19500000,3900000000,3.9,114.0872242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251820,female,70,none,0,none,none,7.09,0.046,0.336,0.09,Passeriformes,Tyrannidae,Tachuris rubrigastra,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,18.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278524,female,30,none,0,none,moderado,6.48,0.026,0.336,0.096,Passeriformes,Tyrannidae,Tachuris rubrigastra,8,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,20.5,19.5,15.7,9.37,6.95,8.16,0.519745223,19.7,11.7,8.76,10.23,0.51928934,0.519491525,399,,1995,19950000,3990000000,3.99,130.1983773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,50 min,,whole blood saved
279151,male,15,not found,0,light body,light,6.5,0.034,0.334,0.068,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,16.4,15.4,14.38,8.59,6.07,7.33,0.509735744,42.22,20.47,18.26,19.365,0.458668877,0.47164311,382,,1910,19100000,3820000000,3.82,123.4667826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251507,male,60,no,0,none,moderado,13.89,0.034,0.778,0.158,Passeriformes,Furnariidae,Phleocryptes melanops,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.6,15.6,37.83,18.31,17.16,17.735,0.468807824,16.32,9.5,7.31,8.405,0.515012255,0.482733149,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251511,male,30,none,0,none,modrate,7.44,0.042,0.332,0.078,Passeriformes,Tyrannidae,Tachuris rubrigastra,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.3,15.3,47.72,24.68,23.19,23.935,0.501571668,49.86,25.05,23.09,24.07,0.482751705,0.491955319,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278523,female,30,none,0,none,light,6.14,0.03,0.33,0.096,Passeriformes,Tyrannidae,Tachuris rubrigastra,8,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,19.9,18.9,13.35,8.98,5.84,7.41,0.55505618,9.54,6.74,3.94,5.34,0.559748428,0.557011796,275,,1375,13750000,2750000000,2.75,202.5497438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278511,female,20,no,0,none,moderado,6.37,0.024,0.33,0.098,Passeriformes,Tyrannidae,Tachuris rubrigastra,6,December,2017,Puerto Morin,-1,l,Peru,8,25.548,78,54.123,19.3,18.3,42.27,24.44,21.9,23.17,0.548142891,32.8,19.36,16.96,18.16,0.553658537,0.550552817,330,,1650,16500000,3300000000,3.3,166.8341871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278516,female,20,no,0,none,moderado,6.37,0.024,0.33,0.098,Passeriformes,Tyrannidae,Tachuris rubrigastra,7,December,2017,Puerto Morin,0,l,Peru,8,25.548,78,54.123,22,21,28.88,16.28,13.88,15.08,0.522160665,19.04,11.64,9.63,10.635,0.558560924,0.536623539,479,,2395,23950000,4790000000,4.79,112.0299664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278536,male,40,none,0,none,light,7.06,0.056,0.324,0.098,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,6,l,Peru,5,31.026,80,42.232,17.6,16.6,30.62,15.7,12.74,14.22,0.464402351,23.56,12.98,10.13,11.555,0.490449915,0.475729051,428,,2140,21400000,4280000000,4.28,111.1516475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251515,female,10,2x2mm,1,none,moderate,6.92,0.048,0.324,0.086,Passeriformes,Tyrannidae,Tachuris rubrigastra,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16.2,15.2,39.31,19.73,18.21,18.97,0.482574409,29.25,15.02,13.41,14.215,0.485982906,0.484028588,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278518,female,60,no,0,none,moderado,6.19,0.04,0.324,0.078,Passeriformes,Tyrannidae,Tachuris rubrigastra,7,December,2017,Puerto Morin,-1,l,Peru,8,25.548,78,54.123,19,18,15.71,8.93,6.51,7.72,0.491406747,9.72,6.67,4.33,5.5,0.565843621,0.519858435,485,,2425,24250000,4850000000,4.85,107.1873062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,30 min,,
251510,female,60,no,0,none,moderado,6.39,0.05,0.322,0.078,Passeriformes,Tyrannidae,Tachuris rubrigastra,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,15.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251506,male,50,none,0,none,moderate,7,0.036,0.322,NA,Passeriformes,Tyrannidae,Tachuris rubrigastra,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,17.4,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251534,female,20,not found,0,none,trace,7.73,0.03,0.32,0.114,Passeriformes,Tyrannidae,Tachuris rubrigastra,14,January,2017,Ondores,4056,h,Peru,11,3.192,76,9.21,16.2,15.2,36.72,21.62,19.03,20.325,0.553513072,18.25,11.11,7.8,9.455,0.518082192,0.541750045,416,,2080,20800000,4160000000,4.16,130.2283763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not noted,,whole blood saved
251512,male,50,no,0,leve,moderado,6.47,0.026,0.32,0.086,Passeriformes,Tyrannidae,Tachuris rubrigastra,15,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,16,15,51.08,22.94,22.39,22.665,0.44371574,52.33,27.3,24.49,25.895,0.494840436,0.469587081,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,70 min,,whole blood saved wrong NK on tube should be 278539
278542,male,30,no,0,none,abundante,7.02,0.046,0.314,0.086,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,4,l,Peru,5,31.028,80,42.225,17.6,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278539,female,40,1.5 x 1.5 mm,1,none,light,6.05,0.028,0.309,0.089,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,3,l,Peru,5,31.059,80,42.232,18.9,17.9,23.9,12.86,11.53,12.195,0.510251046,NA,NA,NA,NA,NA,NA,457,,2285,22850000,4570000000,4.57,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251798,male,50,not found,0,none,trace,7.2,0.028,0.308,0.094,Passeriformes,Tyrannidae,Tachuris rubrigastra,17,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,17,16,24.54,12.91,9.99,11.45,0.466585167,30.17,16.14,10.99,13.565,0.449618827,0.457229026,396,,1980,19800000,3960000000,3.96,115.4618752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278502,male,10,none,0,"none, missing left outer retrix",trace,7.17,0.042,0.3,0.072,Passeriformes,Tyrannidae,Tachuris rubrigastra,5,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,18.8,17.8,18.56,11.56,8.58,10.07,0.542564655,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251825,female,60,none,0,none,moderate,7.44,0.038,0.298,0.078,Passeriformes,Tyrannidae,Tachuris rubrigastra,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,14.6,13.6,16.26,10.21,5.66,7.935,0.48800738,17.32,8.92,5.98,7.45,0.430138568,0.458159619,322,,1610,16100000,3220000000,3.22,142.2855959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251346,male,30,none,0,"secondaries-1,2,3,4 symetrical, in sheath",trace,8.76,0.058,0.296,0.092,Passeriformes,Tyrannidae,Tachuris rubrigastra,25,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,18.6,17.6,16.64,10.3,7.05,8.675,0.521334135,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278537,female,30,4 x 2 mm,1,none,trace,6.15,0.054,0.29,0.084,Passeriformes,Tyrannidae,Tachuris rubrigastra,11,December,2017,Laguna Napique,4,l,Peru,5,31.026,80,42.232,17.6,16.6,24.37,12.35,11.01,11.68,0.479277801,25.22,12.45,11.46,11.955,0.474028549,0.476608187,465,,2325,23250000,4650000000,4.65,102.4963843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279157,male,1,4 x 2 mm,1,heavy head and body,trace,7.1,0.028,0.284,0.084,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,17,16,16.33,9.15,7.58,8.365,0.512247397,NA,NA,NA,NA,NA,NA,487,,2435,24350000,4870000000,4.87,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,35 min,,
278522,female,30,none,0,none,trace,6.37,0.042,0.282,0.072,Passeriformes,Tyrannidae,Tachuris rubrigastra,7,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,17.9,16.9,35.81,23.82,22.38,23.1,0.645071209,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279148,male,15,5x2 mm,1,P3-P4 symmetrical; moderate body molt,light,6.7,0.04,0.28,0.068,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,17.1,16.1,10.27,6.96,4.43,5.695,0.554527751,19.91,11.08,8.9,9.99,0.501757911,0.519715043,553,,2765,27650000,5530000000,5.53,93.98102045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,53 min,,whole blood saved?
279159,female,10,not found,0,moderate body,light,6.5,0.032,0.26,0.064,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,16.9,15.9,41.07,19.76,16.94,18.35,0.44679815,25.99,13.19,11.01,12.1,0.465563678,0.454070981,618,,3090,30900000,6180000000,6.18,73.4742688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1.5 hr,,
279150,male,80,not present,0,moderate head and body,trace,6.2,0.016,0.244,0.074,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,14.8,13.8,57.92,25.21,22.74,23.975,0.413933011,30.02,15.22,11.04,13.13,0.437375083,0.421935411,480,,2400,24000000,4800000000,4.8,87.90321052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,25 min,,whole blood saved
279158,male,5,not found,0,no wing or tail molt; light body molt,none,5.7,0.038,0.232,NA,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,15.4,14.4,34.01,16.09,13.97,15.03,0.441928844,56.96,25.78,22.73,24.255,0.42582514,0.431845663,435,,2175,21750000,4350000000,4.35,99.27486515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279152,female,10,4 x 3 mm,1,heavy head and body,trace,5.3,0.02,0.188,0.072,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,17.5,16.5,15.77,9.95,6.89,8.42,0.533925174,NA,NA,NA,NA,NA,NA,526,,2630,26300000,5260000000,5.26,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279144,female,10,3 x 2 mm,1,moderate head and body,light,5.9,0.024,0.116,0.068,Passeriformes,Tyrannidae,Tachuris rubrigastra,23,January,2019,Estero Mantagua,8,l,Chile,32,53.096,71,30.49,16.2,15.2,53.88,26.96,23.89,25.425,0.47188196,51.56,25.4,22.68,24.04,0.466252909,0.469129363,484,,2420,24200000,4840000000,4.84,96.92755427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,